match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg,bp_std,bp_max,top_kills_share,bp_range,date_utc,best_of,stage,is_lan
93872,Vegas Falcons,0,0,3,232,263,31593,0.8821292775665399,0.8325,0.09142392101268317,0.91,0.3103448275862069,0.07750000000000001,2025-01-31 08:30:00+00:00,5,major,1
93872,Carolina Royal Ravens,1,3,0,263,232,33703,1.1336206896551724,1.165,0.1217921727096341,1.31,0.28517110266159695,0.14500000000000002,2025-01-31 08:30:00+00:00,5,major,1
93873,Minnesota RØKKR,1,3,1,362,322,45936,1.124223602484472,1.195,0.10999999999999997,1.29,0.287292817679558,0.09499999999999997,2025-01-31 10:00:00+00:00,5,major,1
93873,Vancouver Surge,0,1,3,321,363,42500,0.8842975206611571,0.805,0.02999999999999996,0.85,0.2803738317757009,0.04499999999999993,2025-01-31 10:00:00+00:00,5,major,1
93874,LA Guerrillas M8,0,2,3,341,325,41776,1.0492307692307692,1.0425,0.05909032633745278,1.12,0.2756598240469208,0.07750000000000012,2025-01-31 11:30:00+00:00,5,major,1
93874,OpTic Texas,1,3,2,325,341,41665,0.9530791788856304,0.955,0.057445626465380324,1.04,0.27692307692307694,0.08499999999999996,2025-01-31 11:30:00+00:00,5,major,1
93875,Cloud9 New York,1,3,2,370,344,46749,1.0755813953488371,1.0625,0.07410578025138567,1.17,0.2756756756756757,0.10749999999999993,2025-01-31 13:00:00+00:00,5,major,1
93875,Boston Breach,0,2,3,344,370,44490,0.9297297297297298,0.935,0.11,1.03,0.27325581395348836,0.09499999999999997,2025-01-31 13:00:00+00:00,5,major,1
93876,Carolina Royal Ravens,1,3,1,327,291,40131,1.1237113402061856,1.1375,0.06396613687465155,1.21,0.28134556574923547,0.07250000000000001,2025-01-31 14:30:00+00:00,5,major,1
93876,OpTic Texas,0,1,3,291,327,37858,0.8899082568807339,0.8624999999999999,0.08995369179009087,0.97,0.281786941580756,0.10749999999999993,2025-01-31 14:30:00+00:00,5,major,1
