match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg
93883,Los Angeles Thieves,0,2,3,379,363,48043,1.044077134986226,1.025
93883,Atlanta FaZe,1,3,2,362,379,46253,0.9551451187335093,0.975
93884,Los Angeles Thieves,1,3,0,240,181,29501,1.3259668508287292,1.3424999999999998
93884,Miami Heretics,0,0,3,181,240,24992,0.7541666666666667,0.6575
93885,Atlanta FaZe,1,4,3,479,469,61409,1.0213219616204692,1.0875000000000001
93885,Los Angeles Thieves,0,3,4,469,479,60811,0.9791231732776617,0.915
93886,Los Angeles Thieves,1,3,0,235,220,29064,1.0681818181818181,1.2525
93886,Carolina Royal Ravens,0,0,3,220,235,28381,0.9361702127659575,0.7474999999999999
93887,Boston Breach,1,3,1,341,323,42190,1.0557275541795665,1.17
93887,Vegas Falcons,0,1,3,323,341,40921,0.9472140762463344,0.8275
93888,Atlanta FaZe,0,1,3,316,340,40827,0.9294117647058824,0.8025
93888,Vancouver Surge,1,3,1,339,316,41779,1.0727848101265822,1.1975
93889,LA Guerrillas M8,0,2,3,359,342,44885,1.0497076023391814,1.025
93889,Boston Breach,1,3,2,341,359,44566,0.9498607242339833,0.975
93890,Miami Heretics,0,1,3,323,363,41277,0.8898071625344353,0.8400000000000001
93890,Minnesota RØKKR,1,3,1,362,323,43868,1.1207430340557276,1.16
93891,Atlanta FaZe,1,3,0,220,175,27173,1.2571428571428571,1.2675
93891,OpTic Texas,0,0,3,175,221,23253,0.7918552036199095,0.7324999999999999
93892,Cloud9 New York,1,3,0,234,204,28638,1.1470588235294117,1.2149999999999999
93892,Toronto Ultra,0,0,3,204,234,26529,0.8717948717948718,0.785
93893,Vegas Falcons,0,1,3,281,313,36620,0.8977635782747604,0.835
93893,Los Angeles Thieves,1,3,1,312,281,38620,1.1103202846975089,1.165
93894,Carolina Royal Ravens,0,1,3,338,362,44073,0.9337016574585635,0.885
93894,Toronto Ultra,1,3,1,361,338,45126,1.0680473372781065,1.1150000000000002
93895,Vancouver Surge,1,3,2,371,364,46277,1.0192307692307692,1.0975000000000001
93895,Cloud9 New York,0,2,3,364,371,46401,0.9811320754716981,0.9025000000000001
93896,OpTic Texas,0,0,3,270,309,34942,0.8737864077669902,0.8475
93896,Minnesota RØKKR,1,3,0,309,270,37255,1.1444444444444444,1.1524999999999999
93897,Minnesota RØKKR,0,0,3,186,212,24703,0.8773584905660378,0.8274999999999999
93897,Carolina Royal Ravens,1,3,0,211,186,26646,1.1344086021505377,1.1749999999999998
93898,Miami Heretics,1,3,0,222,210,28660,1.0571428571428572,1.1124999999999998
93898,LA Guerrillas M8,0,0,3,209,222,28014,0.9414414414414415,0.8875
93899,Vegas Falcons,0,0,3,159,193,20501,0.8238341968911918,0.6325
93899,Cloud9 New York,1,3,0,193,159,24084,1.2138364779874213,1.3675000000000002
93900,Atlanta FaZe,1,3,1,375,279,45804,1.3440860215053763,1.315
93900,Miami Heretics,0,1,3,279,375,37892,0.744,0.6824999999999999
93901,Carolina Royal Ravens,1,3,0,217,180,25999,1.2055555555555555,1.35
93901,OpTic Texas,0,0,3,180,217,23746,0.8294930875576036,0.65
93902,LA Guerrillas M8,0,1,3,344,364,43653,0.945054945054945,0.9325000000000001
93902,Vancouver Surge,1,3,1,364,344,44423,1.058139534883721,1.0699999999999998
93903,Toronto Ultra,1,3,2,373,375,47892,0.9946666666666667,1.02
93903,Boston Breach,0,2,3,375,373,48353,1.0053619302949062,0.98
93904,Minnesota RØKKR,1,3,0,187,150,22938,1.2466666666666666,1.3275
93904,Vegas Falcons,0,0,3,150,187,20679,0.8021390374331551,0.675
93905,Toronto Ultra,0,0,3,260,291,34320,0.8934707903780069,0.72
93905,Los Angeles Thieves,1,3,0,291,260,35358,1.1192307692307693,1.28
93906,Cloud9 New York,1,3,0,184,117,21870,1.5726495726495726,1.415
93906,Boston Breach,0,0,3,117,184,17409,0.6358695652173914,0.5875
93907,Boston Breach,0,1,3,337,363,43280,0.928374655647383,0.8425
93907,Vancouver Surge,1,3,1,363,337,45046,1.0771513353115727,1.1549999999999998
93908,OpTic Texas,1,3,1,297,286,37586,1.0384615384615385,1.1324999999999998
93908,Vegas Falcons,0,1,3,286,297,37169,0.9629629629629629,0.865
93909,Minnesota RØKKR,0,2,3,365,343,46914,1.064139941690962,1.045
93909,Cloud9 New York,1,3,2,343,365,44498,0.9397260273972603,0.9575
93910,Miami Heretics,0,2,3,338,328,44244,1.0304878048780488,0.9600000000000001
93910,LA Guerrillas M8,1,3,2,328,339,43254,0.967551622418879,1.0375
93911,Atlanta FaZe,0,2,3,358,355,45284,1.008450704225352,0.9650000000000001
93911,Vancouver Surge,1,3,2,354,358,45010,0.9888268156424581,1.0325
93912,Toronto Ultra,1,3,0,270,235,33537,1.148936170212766,1.295
93912,OpTic Texas,0,0,3,235,270,31444,0.8703703703703703,0.705
93913,Los Angeles Thieves,1,3,1,309,266,37631,1.1616541353383458,1.16
93913,Cloud9 New York,0,1,3,265,309,35231,0.8576051779935275,0.8350000000000001
93914,Carolina Royal Ravens,1,3,0,243,212,31265,1.1462264150943395,1.2025000000000001
93914,LA Guerrillas M8,0,0,3,212,243,27464,0.8724279835390947,0.8
93915,Los Angeles Thieves,1,3,0,219,192,28393,1.140625,1.2449999999999999
93915,Carolina Royal Ravens,0,0,3,192,219,26067,0.8767123287671232,0.7525
93916,Vancouver Surge,1,3,0,251,213,30362,1.1784037558685445,1.1475
93916,Toronto Ultra,0,0,3,213,251,28219,0.848605577689243,0.85
93917,Los Angeles Thieves,1,4,3,487,471,61942,1.0339702760084926,1.0375
93917,Vancouver Surge,0,3,4,470,487,58358,0.9650924024640657,0.965
93918,Vancouver Surge,0,0,3,233,265,29935,0.879245283018868,0.83
93918,Los Angeles Thieves,1,3,0,264,233,32776,1.1330472103004292,1.1675
93919,Toronto Ultra,1,3,1,267,235,33877,1.1361702127659574,1.2025000000000001
93919,Vegas Falcons,0,1,3,235,267,32237,0.8801498127340824,0.7975000000000001
93920,Cloud9 New York,1,3,0,196,149,24381,1.3154362416107384,1.315
93920,LA Guerrillas M8,0,0,3,149,197,21028,0.7563451776649747,0.6849999999999999
93921,Atlanta FaZe,1,3,0,212,172,26488,1.2325581395348837,1.3075
93921,Minnesota RØKKR,0,0,3,172,212,23393,0.8113207547169812,0.695
93922,Cloud9 New York,0,1,3,294,333,38639,0.8828828828828829,0.855
93922,Carolina Royal Ravens,1,3,1,333,294,42214,1.1326530612244898,1.1475
93923,Los Angeles Thieves,1,3,0,226,180,26870,1.2555555555555555,1.3225
93923,Boston Breach,0,0,3,180,226,23918,0.7964601769911505,0.6749999999999999
93924,OpTic Texas,0,0,3,237,253,30412,0.9367588932806324,0.9075
93924,Miami Heretics,1,3,0,252,237,31956,1.0632911392405062,1.0925
93925,Vegas Falcons,0,0,3,184,201,24618,0.9154228855721394,0.7725
93925,LA Guerrillas M8,1,3,0,201,184,26276,1.0923913043478262,1.2275
93926,Miami Heretics,0,1,3,325,314,41367,1.035031847133758,0.9325
93926,Vancouver Surge,1,3,1,314,325,41155,0.9661538461538461,1.0650000000000002
93927,Toronto Ultra,1,3,0,255,190,30982,1.3421052631578947,1.335
93927,OpTic Texas,0,0,3,190,255,26448,0.7450980392156863,0.665
93928,Boston Breach,0,2,3,367,398,47117,0.9221105527638191,0.9275
93928,Atlanta FaZe,1,3,2,397,367,49177,1.0817438692098094,1.0725
93929,Toronto Ultra,1,3,2,309,311,40791,0.9935691318327974,1.025
