match_id,player_name,team_name,kills,deaths,damage,bp_rtg
93869,JoeDeceives,Toronto Ultra,76,60,9133,1.23
93869,04,Vancouver Surge,57,64,7033,0.81
93869,Abuzah,Vancouver Surge,59,62,8475,0.81
93869,Hicksy,Vancouver Surge,48,61,6564,0.86
93869,Nastie,Vancouver Surge,50,64,6764,0.76
93870,Gwinn,Carolina Royal Ravens,66,69,7505,0.72
93870,SlasheR,Carolina Royal Ravens,55,65,7864,0.7
93870,TJHaLy,Carolina Royal Ravens,58,81,8293,0.61
93870,Vivid,Carolina Royal Ravens,51,82,7462,0.54
93870,Envoy,Los Angeles Thieves,73,54,8974,1.38
93870,Ghosty,Los Angeles Thieves,77,60,9303,1.39
93870,HyDra,Los Angeles Thieves,60,60,7764,1.22
93870,Scrap,Los Angeles Thieves,86,56,9648,1.43
93871,Dashy,OpTic Texas,100,88,13717,1.06
93871,Huke,OpTic Texas,95,82,10936,1.07
93871,Kenny,OpTic Texas,86,96,11725,0.95
93871,Shotzzy,OpTic Texas,88,93,11212,1.03
93871,Lucky,Miami Heretics,83,90,11631,0.92
93871,MettalZ,Miami Heretics,89,91,11070,0.98
93871,ReeaL,Miami Heretics,96,87,12267,1.06
93871,RenKoR,Miami Heretics,88,101,11297,0.93
93872,D7oomx,Vegas Falcons,46,67,7507,0.7
93872,Exnid,Vegas Falcons,63,62,7295,0.86
93872,KiinG,Vegas Falcons,72,70,8844,0.91
93872,Roxas,Vegas Falcons,51,64,7947,0.86
93872,Gwinn,Carolina Royal Ravens,65,54,8187,1.2
93872,SlasheR,Carolina Royal Ravens,51,53,7495,1.02
93872,TJHaLy,Carolina Royal Ravens,75,60,9274,1.31
93872,Vivid,Carolina Royal Ravens,72,65,8747,1.13
93873,Estreal,Minnesota RØKKR,79,83,10486,1.11
93873,Gio,Minnesota RØKKR,104,73,12208,1.29
93873,Nero,Minnesota RØKKR,98,80,11443,1.29
93873,PaulEhx,Minnesota RØKKR,81,86,11799,1.09
93873,04,Vancouver Surge,90,102,10920,0.79
93873,Abuzah,Vancouver Surge,86,98,12857,0.79
93873,Hicksy,Vancouver Surge,66,81,8922,0.79
93873,Nastie,Vancouver Surge,79,82,9801,0.85
93874,KiSMET,LA Guerrillas M8,94,85,10915,1.05
93874,Lynz,LA Guerrillas M8,89,79,10398,1.12
93874,Priestahh,LA Guerrillas M8,84,83,10094,1.02
93874,Skyz,LA Guerrillas M8,74,78,10369,0.98
93874,Dashy,OpTic Texas,71,87,9636,0.92
93874,Huke,OpTic Texas,76,75,9018,0.92
93874,Kenny,OpTic Texas,88,93,11641,0.94
93874,Shotzzy,OpTic Texas,90,86,11370,1.04
93875,Attach,Cloud9 New York,88,77,10871,1.04
93875,Kremp,Cloud9 New York,84,89,9962,1.0
93875,Mack,Cloud9 New York,96,95,12109,1.04
93875,Sib,Cloud9 New York,102,83,13807,1.17
93875,Cammy,Boston Breach,74,98,10824,0.79
93875,Owakening,Boston Breach,94,88,12477,1.01
93875,Purj,Boston Breach,86,103,11053,0.91
93875,Snoopy,Boston Breach,90,81,10136,1.03
93876,Gwinn,Carolina Royal Ravens,80,70,9630,1.17
93876,SlasheR,Carolina Royal Ravens,72,67,9355,1.1
93876,TJHaLy,Carolina Royal Ravens,92,76,10274,1.21
93876,Vivid,Carolina Royal Ravens,83,78,10872,1.07
93876,Dashy,OpTic Texas,69,83,9629,0.81
93876,Huke,OpTic Texas,82,78,9889,0.97
93876,Kenny,OpTic Texas,68,85,9511,0.77
93876,Shotzzy,OpTic Texas,72,81,8829,0.9
93877,Estreal,Minnesota RØKKR,102,86,12109,1.13
93877,Gio,Minnesota RØKKR,100,85,11580,1.18
93877,Nero,Minnesota RØKKR,90,94,11305,1.01
93877,PaulEhx,Minnesota RØKKR,83,91,10782,0.94
93877,Attach,Cloud9 New York,74,91,9767,0.88
93877,Kremp,Cloud9 New York,104,93,12188,1.08
93877,Mack,Cloud9 New York,87,102,11008,0.82
93877,Sib,Cloud9 New York,91,89,11876,0.96
93878,Envoy,Los Angeles Thieves,74,63,8838,1.21
93878,Ghosty,Los Angeles Thieves,63,54,7970,1.37
93878,HyDra,Los Angeles Thieves,66,58,8642,1.18
93878,Scrap,Los Angeles Thieves,58,57,8335,1.12
93878,Lucky,Miami Heretics,56,62,8895,0.76
93878,MettalZ,Miami Heretics,53,73,6655,0.62
93878,ReeaL,Miami Heretics,66,67,7933,0.9
93878,RenKoR,Miami Heretics,57,59,8478,0.84
93879,Beans,Toronto Ultra,55,59,8553,0.92
93879,CleanX,Toronto Ultra,62,68,7315,0.76
93879,Insight,Toronto Ultra,65,55,7490,1.04
93879,JoeDeceives,Toronto Ultra,53,70,7022,0.77
93879,aBeZy,Atlanta FaZe,56,61,7397,1.08
93879,Cellium,Atlanta FaZe,66,56,8309,1.2
93879,Drazah,Atlanta FaZe,63,61,7884,1.09
93879,Simp,Atlanta FaZe,65,57,8084,1.14
93880,Lucky,Miami Heretics,84,88,11985,1.05
93880,MettalZ,Miami Heretics,98,99,12710,1.08
93880,ReeaL,Miami Heretics,86,97,11497,0.95
93880,RenKoR,Miami Heretics,101,94,13480,1.08
93880,Estreal,Minnesota RØKKR,80,90,11434,0.89
93880,Gio,Minnesota RØKKR,101,89,12771,1.04
93880,Nero,Minnesota RØKKR,106,96,12050,1.01
93880,PaulEhx,Minnesota RØKKR,91,94,12792,0.91
93881,Beans,Toronto Ultra,101,84,14055,1.16
93881,CleanX,Toronto Ultra,97,102,11437,1.01
93881,Insight,Toronto Ultra,89,86,12350,1.04
93881,JoeDeceives,Toronto Ultra,96,91,11777,1.05
93881,Gwinn,Carolina Royal Ravens,86,96,11248,0.89
93881,SlasheR,Carolina Royal Ravens,86,88,12128,0.91
93881,TJHaLy,Carolina Royal Ravens,98,95,12183,1.01
93881,Vivid,Carolina Royal Ravens,93,104,13340,0.93
93882,Lucky,Miami Heretics,85,70,10666,1.04
93882,MettalZ,Miami Heretics,72,90,9238,1.0
93882,ReeaL,Miami Heretics,92,84,10499,1.1
93882,RenKoR,Miami Heretics,78,75,10566,0.98
93882,Gwinn,Carolina Royal Ravens,86,83,11038,0.96
93882,SlasheR,Carolina Royal Ravens,76,73,9581,1.05
93882,TJHaLy,Carolina Royal Ravens,75,82,8815,0.91
93882,Vivid,Carolina Royal Ravens,82,89,11940,0.96
93883,Envoy,Los Angeles Thieves,85,91,10560,0.94
93883,Ghosty,Los Angeles Thieves,92,88,11614,0.99
93883,HyDra,Los Angeles Thieves,96,91,12082,1.02
93883,Scrap,Los Angeles Thieves,106,93,13787,1.15
93883,aBeZy,Atlanta FaZe,91,102,11956,0.96
93883,Cellium,Atlanta FaZe,85,90,11357,0.94
93883,Drazah,Atlanta FaZe,88,92,10773,0.98
93883,Simp,Atlanta FaZe,98,95,12167,1.02
93884,Envoy,Los Angeles Thieves,70,44,7886,1.44
93884,Ghosty,Los Angeles Thieves,47,44,6210,1.17
93884,HyDra,Los Angeles Thieves,62,44,7719,1.41
93884,Scrap,Los Angeles Thieves,61,49,7686,1.35
93884,Lucky,Miami Heretics,45,58,6274,0.68
93884,MettalZ,Miami Heretics,42,65,6536,0.55
93884,ReeaL,Miami Heretics,56,59,6504,0.75
93884,RenKoR,Miami Heretics,38,58,5678,0.65
93885,aBeZy,Atlanta FaZe,121,125,14193,1.06
93885,Cellium,Atlanta FaZe,121,107,17151,1.09
93885,Drazah,Atlanta FaZe,124,121,16222,1.09
93885,Simp,Atlanta FaZe,113,116,13843,1.11
93885,Envoy,Los Angeles Thieves,118,117,13547,0.88
93885,Ghosty,Los Angeles Thieves,107,122,14553,0.92
93885,HyDra,Los Angeles Thieves,117,125,14779,0.87
93885,Scrap,Los Angeles Thieves,127,115,17932,0.99
93886,Envoy,Los Angeles Thieves,57,59,7852,1.2
93886,Ghosty,Los Angeles Thieves,59,53,7172,1.27
93886,HyDra,Los Angeles Thieves,58,54,6744,1.25
93886,Scrap,Los Angeles Thieves,61,54,7296,1.29
93886,Gwinn,Carolina Royal Ravens,71,57,8696,0.84
93886,SlasheR,Carolina Royal Ravens,54,54,6936,0.79
93886,TJHaLy,Carolina Royal Ravens,56,62,6425,0.75
93886,Vivid,Carolina Royal Ravens,39,62,6324,0.61
93887,Cammy,Boston Breach,108,77,11891,1.37
93887,Owakening,Boston Breach,71,82,10315,1.02
93887,Purj,Boston Breach,79,87,10383,1.1
93887,Snoopy,Boston Breach,83,77,9601,1.19
93887,D7oomx,Vegas Falcons,71,74,10633,0.86
93887,Exnid,Vegas Falcons,87,87,10224,0.86
93887,KiinG,Vegas Falcons,94,88,11075,0.88
93887,WXSL,Vegas Falcons,71,92,8989,0.71
93888,aBeZy,Atlanta FaZe,82,81,10395,0.82
93888,Cellium,Atlanta FaZe,76,80,10022,0.8
93888,Drazah,Atlanta FaZe,84,90,11384,0.79
93888,Simp,Atlanta FaZe,74,89,9026,0.8
93888,04,Vancouver Surge,67,83,8755,0.99
93888,Abuzah,Vancouver Surge,81,80,11206,1.25
93888,Nastie,Vancouver Surge,98,69,11464,1.33
93888,Neptune,Vancouver Surge,93,84,10354,1.22
93889,KiSMET,LA Guerrillas M8,103,86,11305,1.05
93889,Lynz,LA Guerrillas M8,92,86,10618,1.04
93889,Priestahh,LA Guerrillas M8,81,85,9966,0.99
93889,Skyz,LA Guerrillas M8,83,85,12996,1.02
93889,Cammy,Boston Breach,86,90,11262,1.0
93889,Owakening,Boston Breach,73,94,10025,0.82
93889,Purj,Boston Breach,85,91,11884,1.0
93889,Snoopy,Boston Breach,97,84,11395,1.08
93890,Lucky,Miami Heretics,71,94,9106,0.69
93890,ReeaL,Miami Heretics,88,92,10594,0.91
93890,RenKoR,Miami Heretics,94,89,11781,0.91
93890,SupeR,Miami Heretics,70,88,9796,0.85
93890,Estreal,Minnesota RØKKR,83,79,9757,1.04
93890,Gio,Minnesota RØKKR,88,82,10981,1.17
93890,Nero,Minnesota RØKKR,100,79,11789,1.27
93890,PaulEhx,Minnesota RØKKR,91,83,11341,1.16
93891,aBeZy,Atlanta FaZe,41,42,5796,1.11
93891,Cellium,Atlanta FaZe,55,38,6723,1.26
93891,Drazah,Atlanta FaZe,61,48,7903,1.3
93891,Simp,Atlanta FaZe,63,47,6751,1.4
93891,Dashy,OpTic Texas,37,57,5425,0.62
93891,Kenny,OpTic Texas,36,54,5285,0.77
93891,Pred,OpTic Texas,53,53,6434,0.82
93891,Shotzzy,OpTic Texas,49,57,6109,0.72
93892,Attach,Cloud9 New York,54,53,7102,1.22
93892,Kremp,Cloud9 New York,61,55,6639,1.13
93892,Mack,Cloud9 New York,59,51,6922,1.3
93892,Sib,Cloud9 New York,60,45,7975,1.21
93892,Beans,Toronto Ultra,55,56,7170,0.83
93892,CleanX,Toronto Ultra,42,62,5597,0.68
93892,Insight,Toronto Ultra,45,59,6700,0.76
93892,JoeDeceives,Toronto Ultra,62,57,7062,0.87
